task_id,project_id,project_domain,project_status,project_budget,project_start_days_ago,assignee_id,assignee_role,assignee_experience,assignee_availability,assignee_cost_rate,assignee_recent_hours,assignee_utilization,task_type,priority,complexity_score,status,progress_percentage,estimated_effort_hours,estimated_duration_days,num_dependencies,dependency_depth,num_risks,max_risk_severity,max_risk_severity_ord,avg_risk_probability,risk_level,actual_effort_hours,actual_duration_days,is_delayed,delay_days,effort_overrun_ratio
1,1,Mobile Banking,In Progress,187000,1064,39,Developer,2.6,0.76,99.95,21.1,0.229,Security Review,High,5.8,Completed,100,5.5,1,0,0,0,None,0,0,Low,8.2,0,0,0,0.491
2,1,Mobile Banking,In Progress,187000,1064,59,Senior Developer,6.6,0.82,134.13,57.2,0.67,Database Design,Low,3.5,In Progress,75.8,58,10,1,1,1,1,3,0.66,High,55.9,7,0,0,0
3,1,Mobile Banking,In Progress,187000,1064,124,DevOps Engineer,2.7,0.82,117.95,60.4,0.708,UI/UX Design,High,9.8,In Progress,46.3,21.9,3,1,1,0,None,0,0,Low,13.6,1,0,0,0
4,1,Mobile Banking,In Progress,187000,1064,42,DevOps Engineer,2.9,0.8,120.29,32.3,0.369,Data Migration,Medium,2.8,Completed,100,8.1,1,1,2,0,None,0,0,Low,10.2,1,0,0,0.259
5,1,Mobile Banking,In Progress,187000,1064,63,Developer,0.5,0.86,82.55,56.6,0.695,Data Migration,High,6.2,In Progress,74.9,12,1,2,3,0,None,0,0,Low,12.3,0,0,0,0.025
6,1,Mobile Banking,In Progress,187000,1064,35,Project Manager,1.2,0.61,125.35,60,0.523,Backend Development,Low,6.2,Completed,100,200,42,0,0,0,None,0,0,Low,274.7,42,0,0,0.373
7,1,Mobile Banking,In Progress,187000,1064,15,Developer,4.8,0.54,98.99,42,0.324,Data Migration,Medium,9,Completed,100,71.8,18,3,2,0,None,0,0,Low,60.1,25,1,7,0
8,1,Mobile Banking,In Progress,187000,1064,133,Project Manager,0.5,0.91,134,20,0.26,Database Design,Medium,6.6,Completed,100,25.9,5,1,1,1,7,3,0.52,High,35.1,4,0,0,0.355
9,1,Mobile Banking,In Progress,187000,1064,73,QA Engineer,4.2,0.98,103.63,35.4,0.496,UI/UX Design,Medium,7.5,In Progress,61.9,1,1,3,4,0,None,0,0,Low,0.5,0,0,0,0
10,1,Mobile Banking,In Progress,187000,1064,124,DevOps Engineer,2.7,0.82,117.95,60.4,0.708,Frontend Development,Medium,8.2,Blocked,14.8,24.8,2,0,0,0,None,0,0,Low,3.2,0,0,0,0
11,1,Mobile Banking,In Progress,187000,1064,37,Developer,3,0.71,92.32,58.5,0.593,Database Design,Medium,1.1,Blocked,30.8,6.3,1,2,3,2,11,2,0.475,Medium,2.2,0,0,0,0
12,1,Mobile Banking,In Progress,187000,1064,131,Senior Developer,6.6,0.54,155.72,64.1,0.494,Deployment,Medium,7.8,Completed,100,92.6,10,0,0,1,12,2,0.9,Medium,116.8,12,1,2,0.261
13,1,Mobile Banking,In Progress,187000,1064,117,Developer,2.9,0.69,102.71,20.8,0.205,Testing & QA,Low,6.5,Not Started,0,55.6,11,3,3,2,13,2,0.605,Medium,0,0,0,0,0
14,1,Mobile Banking,In Progress,187000,1064,97,Developer,7.4,0.83,111.32,37.2,0.441,Performance Optimization,Medium,1.7,Completed,100,56.8,9,1,4,0,None,0,0,Low,59.3,10,1,1,0.044
15,1,Mobile Banking,In Progress,187000,1064,52,UI/UX Designer,4.2,0.97,101.01,34.8,0.482,UI/UX Design,Low,2,In Progress,70.6,11.5,1,0,0,0,None,0,0,Low,10.3,0,0,0,0
16,1,Mobile Banking,In Progress,187000,1064,39,Developer,2.6,0.76,99.95,21.1,0.229,Security Review,High,1.7,Blocked,22.5,17.1,1,3,4,0,None,0,0,Low,4.8,0,0,0,0
17,1,Mobile Banking,In Progress,187000,1064,10,Senior Developer,2.4,0.8,115.08,32.3,0.369,Performance Optimization,Low,3.1,Blocked,14.8,42.8,1,1,1,1,18,2,0.51,Medium,7.1,0,0,0,0
18,1,Mobile Banking,In Progress,187000,1064,24,Developer,5.4,0.66,104.18,47.6,0.449,Bug Fixing,High,9.2,In Progress,34.1,13.3,2,2,5,1,19,1,0.84,Low,4.9,0,0,0,0
19,1,Mobile Banking,In Progress,187000,1064,111,Project Manager,3.7,0.54,137.05,43.6,0.336,Documentation,High,6.4,In Progress,36.8,76.8,13,2,5,2,21,4,0.3,Critical,32.4,4,0,0,0
20,1,Mobile Banking,In Progress,187000,1064,136,Developer,2.5,0.71,103.4,41.1,0.417,Security Review,Medium,5,In Progress,53.9,34,5,0,0,0,None,0,0,Low,20.4,2,0,0,0
21,1,Mobile Banking,In Progress,187000,1064,98,Developer,4,0.98,106.85,20.1,0.281,UI/UX Design,Medium,3.2,Blocked,30,110.4,20,0,0,1,23,2,0.27,Medium,37.4,6,0,0,0
22,1,Mobile Banking,In Progress,187000,1064,109,QA Engineer,7,0.73,108.99,54.5,0.568,DevOps Setup,Medium,5.7,In Progress,20.7,18.4,3,0,0,1,24,2,0.17,Medium,4.5,0,0,0,0
23,1,Mobile Banking,In Progress,187000,1064,22,UI/UX Designer,5.3,0.68,105.1,44.9,0.436,Database Design,Medium,3.6,Completed,100,171.3,28,3,1,0,None,0,0,Low,150.8,35,1,7,0
24,1,Mobile Banking,In Progress,187000,1064,66,Senior Developer,7,0.55,144.57,66,0.519,Testing & QA,Medium,3.5,Blocked,29.7,4,1,3,2,3,26,4,0.737,Critical,1,0,0,0,0
25,1,Mobile Banking,In Progress,187000,1064,148,DevOps Engineer,1,0.73,107.02,27.8,0.29,API Integration,Low,3.8,In Progress,17.6,33.7,7,3,2,1,29,2,0.78,Medium,5.8,1,0,0,0
26,1,Mobile Banking,In Progress,187000,1064,97,Developer,7.4,0.83,111.32,37.2,0.441,Security Review,Low,3.8,In Progress,69.2,11.7,2,1,4,0,None,0,0,Low,10.1,1,0,0,0
27,1,Mobile Banking,In Progress,187000,1064,105,Senior Developer,9.6,0.75,174.41,21.2,0.227,Data Migration,Medium,4.4,Not Started,0,18.4,4,2,1,0,None,0,0,Low,0,0,0,0,0
28,1,Mobile Banking,In Progress,187000,1064,150,Developer,3.4,0.85,100.17,67.4,0.818,DevOps Setup,Low,4.5,Blocked,27.1,28.1,4,3,4,0,None,0,0,Low,8.2,1,0,0,0
29,1,Mobile Banking,In Progress,187000,1064,145,Developer,6.6,0.73,115.93,30.5,0.318,Testing & QA,Medium,9.7,Blocked,31.6,200,49,0,0,0,None,0,0,Low,74.6,15,0,0,0
30,1,Mobile Banking,In Progress,187000,1064,53,UI/UX Designer,1,0.96,101.63,33.7,0.462,DevOps Setup,High,1.9,Blocked,32.4,146,11,3,3,2,34,3,0.75,High,50.4,3,0,0,0
31,2,SaaS,In Progress,1065000,1332,26,Developer,6.4,0.56,116.99,64.4,0.515,API Integration,Medium,5.5,Completed,100,54,8,0,0,1,36,4,0.9,Critical,57.2,9,1,1,0.059
